record_id,q_idx,n_premises_used,question,answer,explanation,premises_nl,premises_fol
1,0,9,"Based on the above premises, which is the strongest conclusion?
A. Sophia qualifies for the university scholarship
B. Sophia needs a faculty recommendation to qualify for the scholarship
C. Sophia is eligible for the international program
D. Sophia needs to pass the language proficiency exam to get an honors diploma",C,"Premises 7 and 8 confirm Sophia completed the core curriculum and passed the science assessment, satisfying premise 1 for advanced courses. Premise 9’s research methodology and premise 2 make her eligible for the international program. Premise 10’s capstone project and premise 4 award her an honors diploma. Premise 11’s community service and premise 5 qualify her for the university scholarship, making A the strongest conclusion. Option B is false because community service suffices without a recommendation. Option C is true but weaker, as scholarship implies international program eligibility. Option D is false because language proficiency is not required via premise 2’s path.","['Students who have completed the core curriculum and passed the science assessment are qualified for advanced courses.', 'Students who are qualified for advanced courses and have completed research methodology are eligible for the international program.', 'Students who have passed the language proficiency exam are eligible for the international program.', 'Students who are eligible for the international program and have completed a capstone project are awarded an honors diploma.', 'Students who have been awarded an honors diploma and have completed community service qualify for the university scholarship.', 'Students who have been awarded an honors diploma and have received a faculty recommendation qualify for the university scholarship.', 'Sophia has completed the core curriculum.', 'Sophia has passed the science assessment.', 'Sophia has completed the research methodology course.', 'Sophia has completed her capstone project.', 'Sophia has completed the required community service hours.']","['∀x ((completed_core_curriculum(x) ∧ passed_science_assessment(x)) → qualified_for_advanced_courses(x))', '∀x ((qualified_for_advanced_courses(x) ∧ completed_research_methodology(x)) → eligible_for_international_program(x))', '∀x (passed_language_proficiency(x) → eligible_for_international_program(x))', '∀x ((eligible_for_international_program(x) ∧ completed_capstone_project(x)) → awarded_honors_diploma(x))', '∀x ((awarded_honors_diploma(x) ∧ completed_community_service(x)) → qualifies_for_scholarship(x))', '∀x ((awarded_honors_diploma(x) ∧ received_faculty_recommendation(x)) → qualifies_for_scholarship(x))', 'completed_core_curriculum(Sophia)', 'passed_science_assessment(Sophia)', 'completed_research_methodology(Sophia)', 'completed_capstone_project(Sophia)', 'completed_community_service(Sophia)']"
1,1,9,"Does Sophia qualify for the university scholarship, according to the premises?",Yes,"The university scholarship per premise 5 requires an honors diploma and community service. Premise 4 requires international program eligibility and a capstone project, premise 2 requires advanced course qualification and research methodology, and premise 1 requires core curriculum and science assessment. Premises 7–11 confirm Sophia’s curriculum, assessment, methodology, capstone, and service, satisfying all conditions for the scholarship.","['Students who have completed the core curriculum and passed the science assessment are qualified for advanced courses.', 'Students who are qualified for advanced courses and have completed research methodology are eligible for the international program.', 'Students who have passed the language proficiency exam are eligible for the international program.', 'Students who are eligible for the international program and have completed a capstone project are awarded an honors diploma.', 'Students who have been awarded an honors diploma and have completed community service qualify for the university scholarship.', 'Students who have been awarded an honors diploma and have received a faculty recommendation qualify for the university scholarship.', 'Sophia has completed the core curriculum.', 'Sophia has passed the science assessment.', 'Sophia has completed the research methodology course.', 'Sophia has completed her capstone project.', 'Sophia has completed the required community service hours.']","['∀x ((completed_core_curriculum(x) ∧ passed_science_assessment(x)) → qualified_for_advanced_courses(x))', '∀x ((qualified_for_advanced_courses(x) ∧ completed_research_methodology(x)) → eligible_for_international_program(x))', '∀x (passed_language_proficiency(x) → eligible_for_international_program(x))', '∀x ((eligible_for_international_program(x) ∧ completed_capstone_project(x)) → awarded_honors_diploma(x))', '∀x ((awarded_honors_diploma(x) ∧ completed_community_service(x)) → qualifies_for_scholarship(x))', '∀x ((awarded_honors_diploma(x) ∧ received_faculty_recommendation(x)) → qualifies_for_scholarship(x))', 'completed_core_curriculum(Sophia)', 'passed_science_assessment(Sophia)', 'completed_research_methodology(Sophia)', 'completed_capstone_project(Sophia)', 'completed_community_service(Sophia)']"
2,0,9,"Based on the above premises, which conclusion is correct?
A. Sophia qualifies for the university scholarship
B. Sophia needs a faculty recommendation to qualify for the scholarship
C. Sophia is eligible for the international program
D. Sophia needs to pass the language proficiency exam to get an honors diploma",C,"Premises 7 and 8 confirm Sophia completed the core curriculum and passed the science assessment, satisfying premise 1 for advanced courses. Premise 9’s research methodology and premise 2 make her eligible for the international program. Premise 10’s capstone project and premise 4 award her an honors diploma. Premise 11’s community service and premise 5 qualify her for the university scholarship, supporting option A. Option B is false because community service suffices without a recommendation. Option C is true but weaker than A, as scholarship implies prior eligibility. Option D is false because language proficiency is not required via premise 2’s path.","['Students who have completed the core curriculum and passed the science assessment are qualified for advanced courses.', 'Students who are qualified for advanced courses and have completed research methodology are eligible for the international program.', 'Students who have passed the language proficiency exam are eligible for the international program.', 'Students who are eligible for the international program and have completed a capstone project are awarded an honors diploma.', 'Students who have been awarded an honors diploma and have completed community service qualify for the university scholarship.', 'Students who have been awarded an honors diploma and have received a faculty recommendation qualify for the university scholarship.', 'Sophia has completed the core curriculum.', 'Sophia has passed the science assessment.', 'Sophia has completed the research methodology course.', 'Sophia has completed her capstone project.', 'Sophia has completed the required community service hours.']","['∀x ((completed_core_curriculum(x) ∧ passed_science_assessment(x)) → qualified_for_advanced_courses(x))', '∀x ((qualified_for_advanced_courses(x) ∧ completed_research_methodology(x)) → eligible_for_international_program(x))', '∀x (passed_language_proficiency(x) → eligible_for_international_program(x))', '∀x ((eligible_for_international_program(x) ∧ completed_capstone_project(x)) → awarded_honors_diploma(x))', '∀x ((awarded_honors_diploma(x) ∧ completed_community_service(x)) → qualifies_for_scholarship(x))', '∀x ((awarded_honors_diploma(x) ∧ received_faculty_recommendation(x)) → qualifies_for_scholarship(x))', 'completed_core_curriculum(Sophia)', 'passed_science_assessment(Sophia)', 'completed_research_methodology(Sophia)', 'completed_capstone_project(Sophia)', 'completed_community_service(Sophia)']"
2,1,9,"Does Sophia qualify for the university scholarship, according to the premises?",Yes,"The university scholarship per premise 5 requires an honors diploma and community service. Premise 4 requires international program eligibility and a capstone project, premise 2 requires advanced course qualification and research methodology, and premise 1 requires core curriculum and science assessment. Premises 7–11 confirm Sophia’s curriculum, assessment, methodology, capstone, and service, satisfying all conditions for the scholarship.","['Students who have completed the core curriculum and passed the science assessment are qualified for advanced courses.', 'Students who are qualified for advanced courses and have completed research methodology are eligible for the international program.', 'Students who have passed the language proficiency exam are eligible for the international program.', 'Students who are eligible for the international program and have completed a capstone project are awarded an honors diploma.', 'Students who have been awarded an honors diploma and have completed community service qualify for the university scholarship.', 'Students who have been awarded an honors diploma and have received a faculty recommendation qualify for the university scholarship.', 'Sophia has completed the core curriculum.', 'Sophia has passed the science assessment.', 'Sophia has completed the research methodology course.', 'Sophia has completed her capstone project.', 'Sophia has completed the required community service hours.']","['∀x ((completed_core_curriculum(x) ∧ passed_science_assessment(x)) → qualified_for_advanced_courses(x))', '∀x ((qualified_for_advanced_courses(x) ∧ completed_research_methodology(x)) → eligible_for_international_program(x))', '∀x (passed_language_proficiency(x) → eligible_for_international_program(x))', '∀x ((eligible_for_international_program(x) ∧ completed_capstone_project(x)) → awarded_honors_diploma(x))', '∀x ((awarded_honors_diploma(x) ∧ completed_community_service(x)) → qualifies_for_scholarship(x))', '∀x ((awarded_honors_diploma(x) ∧ received_faculty_recommendation(x)) → qualifies_for_scholarship(x))', 'completed_core_curriculum(Sophia)', 'passed_science_assessment(Sophia)', 'completed_research_methodology(Sophia)', 'completed_capstone_project(Sophia)', 'completed_community_service(Sophia)']"
3,0,7,"Based on the above premises, which conclusion logically follows?
A. John qualifies for the graduate fellowship program
B. John needs faculty recommendation for the fellowship
C. John must complete an internship to qualify
D. John’s GPA is insufficient for honors",A,"Premise 5 and premise 1 confirm John is eligible for graduation by completing required courses. Premise 6’s GPA of 3.8 and premise 2 qualify him for honors. Premise 7’s thesis and premise 3 grant academic distinction. Premise 4 confirms distinction qualifies him for the graduate fellowship program, supporting option A. Option B is false because no recommendation is required. Option C is false because no internship is mentioned. Option D is false because his GPA exceeds 3.5.","['If a student completes all required courses, they are eligible for graduation.', 'If a student is eligible for graduation and maintains a GPA above 3.5, they graduate with honors.', 'If a student graduates with honors and completes a thesis, they receive academic distinction.', 'If a student receives academic distinction, they qualify for the graduate fellowship program.', 'John has completed all required courses.', 'John maintains a GPA of 3.8.', 'John has completed a thesis.']","['∀x (completed_required_courses(x) → eligible_for_graduation(x))', '∀x ((eligible_for_graduation(x) ∧ gpa_above_3_5(x)) → graduates_with_honors(x))', '∀x ((graduates_with_honors(x) ∧ completed_thesis(x)) → academic_distinction(x))', '∀x (academic_distinction(x) → qualifies_for_fellowship(x))', 'completed_required_courses(John)', 'gpa_above_3_5(John)', 'completed_thesis(John)']"
3,1,6,"Does John receive academic distinction, according to the premises?",Yes,"Academic distinction per premise 3 requires graduating with honors and completing a thesis. Premise 2 requires graduation eligibility and a GPA above 3.5, and premise 1 requires course completion. Premises 5–7 confirm John’s course completion, GPA of 3.8, and thesis, satisfying all conditions for academic distinction.","['If a student completes all required courses, they are eligible for graduation.', 'If a student is eligible for graduation and maintains a GPA above 3.5, they graduate with honors.', 'If a student graduates with honors and completes a thesis, they receive academic distinction.', 'If a student receives academic distinction, they qualify for the graduate fellowship program.', 'John has completed all required courses.', 'John maintains a GPA of 3.8.', 'John has completed a thesis.']","['∀x (completed_required_courses(x) → eligible_for_graduation(x))', '∀x ((eligible_for_graduation(x) ∧ gpa_above_3_5(x)) → graduates_with_honors(x))', '∀x ((graduates_with_honors(x) ∧ completed_thesis(x)) → academic_distinction(x))', '∀x (academic_distinction(x) → qualifies_for_fellowship(x))', 'completed_required_courses(John)', 'gpa_above_3_5(John)', 'completed_thesis(John)']"
4,0,8,"Based on the premises, what is the correct conclusion about Professor John?
A. He can teach undergraduate courses but cannot supervise graduates
B. He can serve on curriculum committees but cannot propose courses
C. He can propose new courses
D. He needs more publications to serve on committees",C,"Premise 5 and premise 1 confirm Professor John can teach undergraduate courses due to pedagogical training. Premise 6’s PhD and premise 2 allow him to supervise graduate students. Premise 7’s three or more publications and premise 3 qualify him for curriculum committees. Premise 8’s positive evaluation and premise 4 confirm he can propose new courses, supporting option C. Option A is false because he can supervise graduates. Option B is false because he can propose courses. Option D is false because he has sufficient publications.","['If a faculty member has completed training, they can teach undergraduate courses.', 'If a faculty member can teach undergraduate courses and holds a PhD, they can supervise graduate students.', 'If a faculty member can supervise graduate students and has at least 3 publications, they can serve on curriculum committees.', 'If a faculty member can serve on curriculum committees and has a positive teaching evaluation, they can propose new courses.', 'Professor John has completed pedagogical training.', 'Professor John holds a PhD.', 'Professor John has published at least 3 academic papers.', 'Professor John has received a positive teaching evaluation.']","['∀x (completed_pedagogical_training(x) → can_teach_undergraduate(x))', '∀x ((can_teach_undergraduate(x) ∧ holds_phd(x)) → can_supervise_graduate(x))', '∀x ((can_supervise_graduate(x) ∧ has_at_least_three_publications(x)) → can_serve_curriculum_committees(x))', '∀x ((can_serve_curriculum_committees(x) ∧ has_positive_evaluation(x)) → can_propose_courses(x))', 'completed_pedagogical_training(John)', 'holds_phd(John)', 'has_at_least_three_publications(John)', 'has_positive_evaluation(John)']"
4,1,8,"Does Professor John meet all requirements to propose new courses, according to the premises?",Yes,"Proposing new courses per premise 4 requires serving on curriculum committees and a positive evaluation. Premise 3 requires graduate supervision and at least three publications, premise 2 requires undergraduate teaching and a PhD, and premise 1 requires training. Premises 5–8 confirm John’s training, PhD, publications, and evaluation, satisfying all conditions, so he meets the requirements.","['If a faculty member has completed training, they can teach undergraduate courses.', 'If a faculty member can teach undergraduate courses and holds a PhD, they can supervise graduate students.', 'If a faculty member can supervise graduate students and has at least 3 publications, they can serve on curriculum committees.', 'If a faculty member can serve on curriculum committees and has a positive teaching evaluation, they can propose new courses.', 'Professor John has completed pedagogical training.', 'Professor John holds a PhD.', 'Professor John has published at least 3 academic papers.', 'Professor John has received a positive teaching evaluation.']","['∀x (completed_pedagogical_training(x) → can_teach_undergraduate(x))', '∀x ((can_teach_undergraduate(x) ∧ holds_phd(x)) → can_supervise_graduate(x))', '∀x ((can_supervise_graduate(x) ∧ has_at_least_three_publications(x)) → can_serve_curriculum_committees(x))', '∀x ((can_serve_curriculum_committees(x) ∧ has_positive_evaluation(x)) → can_propose_courses(x))', 'completed_pedagogical_training(John)', 'holds_phd(John)', 'has_at_least_three_publications(John)', 'has_positive_evaluation(John)']"
6,0,6,"Based on the premises, what can we conclude about John’s qualifications?
A. John can transport hazardous materials but cannot cross state lines
B. John can cross state lines with hazardous cargo
C. John cannot transport hazardous materials
D. John is not qualified to transport any kind of goods",C,"Premises 4 and 5 confirm John passed vehicle inspection and has a license, satisfying premise 1 for transporting standard goods. However, premise 6 confirms hazmat training, but premise 7 states he lacks a safety endorsement, so premise 2 prevents him from transporting hazardous materials, supporting option C. Option A is false because he cannot transport hazardous materials. Option B is false because he cannot cross state lines without hazardous material capability. Option D is false because he can transport standard goods.","['If a driver has passed vehicle inspection and has the appropriate license, they can transport standard goods.', 'If a driver can transport standard goods and has completed hazmat training and received a safety endorsement, they can transport hazardous materials.', 'If a driver can transport hazardous materials and has an interstate permit, they can cross state lines with hazardous cargo.', 'John has passed vehicle inspection.', 'John has the appropriate license.', 'John has completed hazmat training.', 'John has not received a safety endorsement.', 'John has an interstate permit.']","['∀x ((passed_vehicle_inspection(x) ∧ has_appropriate_license(x)) → can_transport_standard_goods(x))', '∀x ((can_transport_standard_goods(x) ∧ completed_hazmat_training(x) ∧ received_safety_endorsement(x)) → can_transport_hazardous_materials(x))', '∀x ((can_transport_hazardous_materials(x) ∧ has_interstate_permit(x)) → can_cross_state_lines(x))', 'passed_vehicle_inspection(John)', 'has_appropriate_license(John)', 'completed_hazmat_training(John)', '¬received_safety_endorsement(John)', 'has_interstate_permit(John)']"
6,1,8,"Does John meet all requirements to cross state lines with hazardous cargo, according to the premises?",No,"Crossing state lines with hazardous cargo per premise 3 requires the ability to transport hazardous materials and an interstate permit. Premise 2 requires standard goods capability, hazmat training, and a safety endorsement for hazardous materials. Premises 1, 4, 5, and 6 confirm standard goods and training, and premise 8 confirms the permit, but premise 7’s lack of endorsement prevents hazardous material transport, so John does not meet all requirements.","['If a driver has passed vehicle inspection and has the appropriate license, they can transport standard goods.', 'If a driver can transport standard goods and has completed hazmat training and received a safety endorsement, they can transport hazardous materials.', 'If a driver can transport hazardous materials and has an interstate permit, they can cross state lines with hazardous cargo.', 'John has passed vehicle inspection.', 'John has the appropriate license.', 'John has completed hazmat training.', 'John has not received a safety endorsement.', 'John has an interstate permit.']","['∀x ((passed_vehicle_inspection(x) ∧ has_appropriate_license(x)) → can_transport_standard_goods(x))', '∀x ((can_transport_standard_goods(x) ∧ completed_hazmat_training(x) ∧ received_safety_endorsement(x)) → can_transport_hazardous_materials(x))', '∀x ((can_transport_hazardous_materials(x) ∧ has_interstate_permit(x)) → can_cross_state_lines(x))', 'passed_vehicle_inspection(John)', 'has_appropriate_license(John)', 'completed_hazmat_training(John)', '¬received_safety_endorsement(John)', 'has_interstate_permit(John)']"
